date,time,cpu-thermal
2026-09-02,05:44:01,55.968
2026-09-02,05:45:01,56.093
2026-09-02,05:46:02,56.000
2026-09-02,05:47:01,56.156
2026-09-02,05:48:01,56.250
2026-09-02,05:49:01,55.968
2026-09-02,05:50:01,56.187
2026-09-02,05:51:01,56.281
2026-09-02,05:52:01,56.125
2026-09-02,05:53:01,55.875
2026-09-02,05:54:01,56.281
2026-09-02,05:55:01,56.218
2026-09-02,05:56:01,56.187
2026-09-02,05:57:01,56.468
2026-09-02,05:58:01,56.437
2026-09-02,05:59:02,56.218
2026-09-02,06:00:01,55.906
2026-09-02,06:01:01,56.531
2026-09-02,06:02:01,56.093
2026-09-02,06:03:01,55.875
2026-09-02,06:04:01,56.281
2026-09-02,06:05:01,56.000
2026-09-02,06:06:01,55.906
2026-09-02,06:07:01,56.093
2026-09-02,06:08:01,55.968
2026-09-02,06:09:01,55.812
2026-09-02,06:10:01,56.093
2026-09-02,06:11:01,56.062
2026-09-02,06:12:02,56.281
2026-09-02,06:13:01,56.312
2026-09-02,06:14:01,55.906
2026-09-02,06:15:01,55.750
2026-09-02,06:16:01,55.875
2026-09-02,06:17:01,55.937
2026-09-02,06:18:01,56.062
2026-09-02,06:19:01,56.156
2026-09-02,06:20:01,56.031
2026-09-02,06:21:01,56.375
2026-09-02,06:22:01,56.437
2026-09-02,06:23:01,56.000
2026-09-02,06:24:01,55.875
2026-09-02,06:25:02,55.781
2026-09-02,06:26:01,56.000
2026-09-02,06:27:01,56.281
2026-09-02,06:28:01,56.062
2026-09-02,06:29:01,55.937
2026-09-02,06:30:01,55.968
2026-09-02,06:31:01,55.875
2026-09-02,06:32:01,55.906
2026-09-02,06:33:01,55.843
2026-09-02,06:34:01,55.968
2026-09-02,06:35:01,56.031
2026-09-02,06:36:01,55.562
2026-09-02,06:37:01,55.500
2026-09-02,06:38:02,55.812
2026-09-02,06:39:01,55.500
2026-09-02,06:40:01,55.781
2026-09-02,06:41:01,55.906
2026-09-02,06:42:01,56.125
2026-09-02,06:43:01,55.937
2026-09-02,06:44:01,55.718
2026-09-02,06:45:01,55.625
2026-09-02,06:46:01,55.625
2026-09-02,06:47:01,55.562
2026-09-02,06:48:01,55.468
2026-09-02,06:49:01,55.500
2026-09-02,06:50:01,55.500
2026-09-02,06:51:02,55.718
2026-09-02,06:52:01,55.531
2026-09-02,06:53:01,55.468
2026-09-02,06:54:01,55.750
2026-09-02,06:55:01,55.500
2026-09-02,06:56:01,55.718
2026-09-02,06:57:01,55.500
2026-09-02,06:58:01,55.531
2026-09-02,06:59:01,55.406
2026-09-02,07:00:01,55.718
2026-09-02,07:01:01,55.625
2026-09-02,07:02:01,55.625
2026-09-02,07:03:01,55.437
2026-09-02,07:04:02,55.625
2026-09-02,07:05:01,55.687
2026-09-02,07:06:01,55.656
2026-09-02,07:07:01,55.750
